tract_id,municipality_id,intersection_area_sqm,tract_area_sqm,proportion
45083020301,4568290,2539028.707392003,2654221.186375299,0.956600271
45083020400,4564240,45516.00381666887,1689881.658829085,0.026934433
45083020400,4568290,1644365.6550124162,1689881.658829085,0.9730655672964658
45083020500,4564240,83389.53578770155,1760133.13,0.047376834
45083020500,4568290,1544668.6477284941,1760133.13,0.8775862586567641
45083020601,4502080,0.00,3389749.6822035704,0
45083020601,4564240,0.00,3389749.6822035704,0
45083020601,4568290,1765933.8535912333,3389749.6822035704,0.5209629085187361
45083020602,4568290,2469555.213873547,2565430.992262605,0.9626278084742013
45083020603,4568290,3203290.1933379583,3203290.1933379592,0.9999999999999997
45083020701,4568290,2714497.447768371,2753534.7707271706,0.9858228327552623
45083020702,4568290,2043817.1844611415,7961063.864802143,0.25672664095779574
45083020800,4568290,1068272.673787916,1068272.6737879156,1.0000000000000004
45083020900,4568290,1518518.6774546972,1529964.731009382,0.9925187467902391
45083021001,4568290,2328927.811341273,2487643.6532399803,0.9361983209725432
45083021100,4568290,5419054.303988709,7051575.603605469,0.7684884355799785
45083021200,4568290,4963391.266194002,5111935.552265444,0.9709416747232636
45083021301,4568290,2142008.614283691,4323063.842483892,0.49548391888956295
45083021302,4568290,5163103.2185547175,6555569.060599726,0.7875903938814397
45083021303,4568290,5498840.347490434,8732207.19,0.6297194088510917
45083021402,4573465,1545956.7208861283,17452089.995701917,0.088582899
45083021403,4568290,0.00,9903106.138054756,0
45083021403,4573465,0.00,9903106.138054756,0
45083021500,4568290,1330631.143198687,6449863.002927514,0.20630378390901166
45083021500,4573465,0.00,6449863.002927514,0
45083021600,4564240,0.00,7071052.433830696,0
45083021600,4567750,0.00,7071052.433830696,0
45083021600,4568290,409655.0395369204,7071052.433830696,0.057934097
45083021600,4573465,0.00,7071052.433830696,0
45083021700,4502080,221748.46839535426,6639385.659609656,0.033398944
45083021700,4564240,6067901.408778811,6639385.659609656,0.9139251310091175
45083021700,4567750,0.00,6639385.659609656,0
45083021700,4568290,286516.20543804805,6639385.659609656,0.043154024
45083021802,4502080,0.00,11212888.674481807,0
45083021802,4507345,0.00,11212888.674481807,0
45083021802,4564240,0.00,11212888.674481807,0
45083021802,4567750,4763679.654936614,11212888.674481807,0.4248396459850488
45083021802,4573465,5930454.509089094,11212888.674481807,0.5288962265883875
45083021803,4507345,0.00,13344914.237974023,0
45083021803,4567750,0.00,13344914.237974023,0
45083021803,4573465,3558965.8299999624,13344914.237974023,0.26669079819731173
45083021804,4567750,1094390.8523318167,7359574.92,0.14870299764649503
45083021804,4573465,0.00,7359574.92,0
45083021901,4502080,4864828.683143329,27035555.90311994,0.1799418773032117
45083021901,4524505,5428686.470535665,27035555.90311994,0.20079803389244114
45083021901,4564240,0.00,27035555.90311994,0
45083021901,4567750,3394872.7271343893,27035555.90311994,0.125570665
45083021901,4575580,64936.52291860806,27035555.90311994,0.002401893
45083021902,4502080,0.00,13870706.780692244,0
45083021902,4524505,0.00,13870706.780692244,0
45083021902,4568290,396195.2970398757,13870706.780692244,0.028563454
45083022003,4561720,3183389.303687155,20218127.69018433,0.157452231
45083022003,4568290,1524241.8005529267,20218127.69018433,0.075389859
45083022004,4568290,49172.181692228376,8944108.80,0.005497717
45083022006,4561720,5450521.522638717,16972537.39292111,0.32113769417364874
45083022006,4568290,15198.804540320278,16972537.39292111,0.000895494
45083022007,4561720,2089994.9248433136,8254717.668713572,0.2531879355201523
45083022007,4568290,956733.0253481225,8254717.668713572,0.11590136255952908
45083022101,4529275,0.00,9177098.853621166,0
45083022101,4568290,186565.1590514508,9177098.853621166,0.020329427
45083022102,4529275,549959.0773707548,16546608.018256178,0.033236967767893866
45083022102,4553845,0.00,16546608.018256178,0
45083022102,4568290,270768.9877846819,16546608.018256178,0.016364017778504058
45083022201,4515220,1490700.380852079,25896290.293069966,0.057564244
45083022201,4516360,1814936.0373990128,25896290.293069966,0.070084789
45083022201,4568290,0.00,25896290.293069966,0
45083022202,4515220,1454989.024284355,39836192.40,0.0365243
45083022202,4516360,0.00,39836192.40,0
45083022202,4517260,6102504.079033302,39836192.40,0.15318994389646548
45083022202,4553845,0.00,39836192.40,0
45083022302,4514050,5593.983647786489,56563998.02839366,9.88965391905016e-05
45083022302,4545430,7870111.574443738,56563998.02839366,0.13913640917838138
45083022303,4514050,2881493.5940778116,9697117.188196786,0.2971495072355247
45083022401,4511125,30529.21290505959,95330940.58363342,0.000320245
45083022401,4525360,632716.9807049256,95330940.58363342,0.006637058
45083022403,4507345,0.00,64620200.59098557,0
45083022403,4573465,0.00,64620200.59098557,0
45083022404,4507345,0.00,30303667.102177292,0
45083022405,4507345,8814734.558669597,12749176.018328533,0.6913964122855717
45083022406,4507345,8881506.257412938,11347122.290566832,0.7827100149256674
45083022406,4573465,2465616.0331539065,11347122.290566832,0.21728998507433372
45083022500,4511125,7164173.437583293,89538230.68947396,0.080012453
45083022500,4540075,189826.40838364972,89538230.68947396,0.00212006
45083022600,4511125,0.00,22306146.28798439,0
45083022600,4540075,6826276.952801035,22306146.28798439,0.3060267275516853
45083022700,4511125,1893709.065583876,76361087.97654846,0.024799398695909886
45083022700,4530220,2621063.800295923,76361087.97654846,0.0343246
45083022802,4535755,249904.63505111076,49026458.71321011,0.005097342
45083022802,4535800,0.00,49026458.71321011,0
45083022802,4543315,1622837.2639037508,49026458.71321011,0.033101254026868546
45083022802,4575580,820704.0589769507,49026458.71321011,0.016740023255153304
45083022900,4535755,3858506.6359635512,17877449.839186586,0.2158309306233305
45083022900,4535800,2940950.127640651,17877449.839186586,0.16450613225574362
45083023001,4521265,1436670.2798767071,48726874.48429806,0.029484145968353984
45083023001,4530985,236395.92660641234,48726874.48429806,0.004851449
45083023001,4543315,6299246.519254296,48726874.48429806,0.12927663811649134
45083023002,4543315,3884547.3048606953,21950668.910919394,0.1769671494123954
45083023002,4575580,4097098.395042074,21950668.910919394,0.18665027529088035
45083023101,4521265,8267445.012447995,17023986.461255446,0.48563507914340215
45083023101,4530985,730827.6653977261,17023986.461255446,0.042929291
45083023101,4543315,785385.7194853993,17023986.461255446,0.046134066
45083023101,4568920,861668.2112341854,17023986.461255446,0.050614949277317564
45083023102,4521265,1429399.716662025,23043688.78,0.062029987063536504
45083023102,4543315,5415339.242659271,23043688.78,0.2350031410047084
45083023102,4568920,3125985.693625861,23043688.78,0.1356547436494702
45083023102,4575580,5959196.594015073,23043688.78,0.25860428215211934
45083023201,4530985,1235464.7492022843,19105825.29569668,0.064664296
45083023201,4543315,0.00,19105825.29569668,0
45083023202,4521265,3044754.7661183663,57776860.06227958,0.052698515683204744
45083023202,4530985,14360864.549847435,57776860.06227958,0.24855737287155075
45083023301,4530985,1015995.8159242774,3586536.948600575,0.28328045423335374
45083023302,4530985,4727306.775095776,6051411.018831585,0.781190826
45083023401,4568920,0.00,16123281.241802875,0
45083023401,4575580,240252.0745798639,16123281.241802875,0.014900941748566768
45083023403,4521265,23899.871712418382,21993606.472487994,0.001086674
45083023403,4559425,274620.7927781505,21993606.472487994,0.012486392039508219
45083023404,4530985,11367.34322059803,50857706.16915695,0.000223513
45083023404,4559425,4134087.599098889,50857706.16915695,0.081287339
45083023405,4530985,5784028.949677583,40647523.515760966,0.1422972040949762
45083023500,4579090,354101.9252905027,142488379.82772103,0.002485128
45083023600,4579090,9826637.793148028,51380983.58341847,0.19125048038821998
45083023700,4517845,2012832.7144333727,178031247.88663483,0.011306064178773194
45083023700,4523605,4101108.398688397,178031247.88663483,0.023035890875178634
45083023801,4561720,430042.42599482817,79668767.53667578,0.00539788
45083023900,4513060,647031.0040079859,93300273.82730931,0.006934931
45083023900,4553845,15290634.955459328,93300273.82730931,0.16388628166044789